start_day	end_day	station_number	institute
08 Sep, 2020	05 Oct, 2020	ARA03-04	Brussels
08 Sep, 2020	05 Oct, 2020	ARA01-02	UCL
06 Oct, 2020	02 Nov, 2020	ARA03-04	Wisconsin
06 Oct, 2020	02 Nov, 2020	ARA01-02	VUB
03 Nov, 2020	30 Nov, 2020	ARA03-04	UNL
03 Nov, 2020	30 Nov, 2020	ARA01-02	Delaware
01 Dec, 2020	28 Dec, 2020	ARA03-04	Maryland
01 Dec, 2020	28 Dec, 2020	ARA01-02	OSU
29 Dec, 2020	25 Jan, 2021	ARA03-04	KU
29 Dec, 2020	25 Jan, 2021	ARA01-02	Penn State
26 Jan, 2021	22 Feb, 2021	ARA03-04	Chiba
26 Jan, 2021	22 Feb, 2021	ARA01-02	NTU
23 Feb, 2021	22 Mar, 2021	ARA03-04	KU
23 Feb, 2021	22 Mar, 2021	ARA01-02	Brussels
23 Mar, 2021	19 Apr, 2021	ARA03-04	UCL
23 Mar, 2021	19 Apr, 2021	ARA01-02	Wisconsin
20 Apr, 2021	17 May, 2021	ARA03-04	VUB
20 Apr, 2021	17 May, 2021	ARA01-02	UNL
18 May, 2021	14 Jun, 2021	ARA03-04	Delaware
18 May, 2021	14 Jun, 2021	ARA01-02	Maryland
15 Jun, 2021	12 Jul, 2021	ARA03-04	OSU
15 Jun, 2021	12 Jul, 2021	ARA01-02	KU
13 Jul, 2021	09 Aug, 2021	ARA03-04	Penn State
13 Jul, 2021	09 Aug, 2021	ARA01-02	Chiba
10 Aug, 2021	06 Sep, 2021	ARA03-04	NTU
10 Aug, 2021	06 Sep, 2021	ARA01-02	OSU
07 Sep, 2021	04 Oct, 2021	ARA03-04	Brussels
07 Sep, 2021	04 Oct, 2021	ARA01-02	UCL
05 Oct, 2021	01 Nov, 2021	ARA03-04	Wisconsin
05 Oct, 2021	01 Nov, 2021	ARA01-02	VUB
02 Nov, 2021	29 Nov, 2021	ARA03-04	UNL
02 Nov, 2021	29 Nov, 2021	ARA01-02	Delaware
30 Nov, 2021	27 Dec, 2021	ARA03-04	Maryland
30 Nov, 2021	27 Dec, 2021	ARA01-02	OSU
28 Dec, 2021	24 Jan, 2022	ARA03-04	KU
28 Dec, 2021	24 Jan, 2022	ARA01-02	Penn State
25 Jan, 2022	21 Feb, 2022	ARA03-04	Chiba
25 Jan, 2022	21 Feb, 2022	ARA01-02	NTU
22 Feb, 2022	21 Mar, 2022	ARA03-04	UW
22 Feb, 2022	21 Mar, 2022	ARA01-02	Brussels
22 Mar, 2022	18 Apr, 2022	ARA03-04	UCL
22 Mar, 2022	18 Apr, 2022	ARA01-02	Wisconsin
19 Apr, 2022	16 May, 2022	ARA03-04	VUB
19 Apr, 2022	16 May, 2022	ARA01-02	UNL
17 May, 2022	13 Jun, 2022	ARA03-04	Delaware
17 May, 2022	13 Jun, 2022	ARA01-02	Maryland
14 Jun, 2022	11 Jul, 2022	ARA03-04	OSU
14 Jun, 2022	11 Jul, 2022	ARA01-02	KU
12 Jul, 2022	08 Aug, 2022	ARA03-04	Penn State
12 Jul, 2022	08 Aug, 2022	ARA01-02	Chiba
09 Aug, 2022	05 Sep, 2022	ARA03-04	NTU
09 Aug, 2022	05 Sep, 2022	ARA01-02	KU
06 Sep, 2022	03 Oct, 2022	ARA03-04	Brussels
06 Sep, 2022	03 Oct, 2022	ARA01-02	UCL
